1.6932,-1.939,2.2408,-1.8708,-1.5643,-3.0163
1.6894,-1.912,2.2244,-1.8814,-1.5644,-3.02
1.6858,-1.8854,2.2074,-1.8912,-1.5643,-3.0234
1.6825,-1.859,2.1901,-1.9001,-1.5644,-3.0267
1.6793,-1.833,2.1722,-1.9083,-1.5643,-3.0299
1.6763,-1.8072,2.1539,-1.9156,-1.5643,-3.0327
1.6734,-1.7819,2.135,-1.9221,-1.5642,-3.0356
1.6708,-1.7569,2.1156,-1.9278,-1.5644,-3.0382
1.6682,-1.7321,2.0959,-1.9326,-1.5642,-3.0407
1.6658,-1.7078,2.0756,-1.9369,-1.5644,-3.0432
1.6635,-1.6835,2.055,-1.9404,-1.5645,-3.0455
1.6613,-1.6596,2.0338,-1.9432,-1.5643,-3.0477
1.6592,-1.6359,2.0123,-1.9454,-1.5643,-3.0497
1.6571,-1.6125,1.9902,-1.9469,-1.5641,-3.0516
1.6552,-1.5893,1.9679,-1.9477,-1.5644,-3.0535
1.6533,-1.5664,1.9451,-1.9479,-1.5641,-3.0553
1.6516,-1.5434,1.9218,-1.9475,-1.5644,-3.0571
1.6499,-1.5208,1.8981,-1.9464,-1.5645,-3.0588
1.6483,-1.4983,1.8739,-1.9449,-1.5642,-3.0605
1.6615,-1.9523,2.2485,-1.8652,-1.5643,-3.048
1.6586,-1.9246,2.2321,-1.8766,-1.5643,-3.0508
1.6559,-1.8973,2.2151,-1.8869,-1.5643,-3.0535
1.6534,-1.8704,2.1977,-1.8964,-1.5642,-3.056
1.651,-1.8439,2.1798,-1.9049,-1.5645,-3.0581
1.6488,-1.8178,2.1614,-1.9127,-1.5644,-3.0603
1.6466,-1.792,2.1426,-1.9195,-1.5642,-3.0624
1.6446,-1.7666,2.1231,-1.9257,-1.5643,-3.0644
1.6427,-1.7416,2.1034,-1.931,-1.5642,-3.0663
1.6409,-1.7167,2.0832,-1.9355,-1.5643,-3.068
1.6392,-1.6922,2.0624,-1.9393,-1.5644,-3.0697
1.6375,-1.668,2.0413,-1.9423,-1.5644,-3.0712
1.6359,-1.644,2.0197,-1.9447,-1.5645,-3.0729
1.6344,-1.6203,1.9977,-1.9465,-1.5643,-3.0744
1.633,-1.5969,1.9753,-1.9475,-1.5643,-3.0758
1.6317,-1.5736,1.9524,-1.9479,-1.5643,-3.0771
1.6303,-1.5506,1.9292,-1.9477,-1.5643,-3.0785
1.6291,-1.5277,1.9054,-1.9468,-1.5643,-3.0798
1.6279,-1.505,1.8813,-1.9454,-1.5644,-3.081
1.6292,-1.9648,2.2556,-1.8599,-1.5643,-3.0803
1.6273,-1.9365,2.2393,-1.8718,-1.5644,-3.0821
1.6256,-1.9086,2.2223,-1.8827,-1.5643,-3.0838
1.624,-1.8813,2.2049,-1.8927,-1.5644,-3.0854
1.6225,-1.8544,2.187,-1.9017,-1.5645,-3.0869
1.621,-1.8278,2.1685,-1.9099,-1.5644,-3.0884
1.6195,-1.8016,2.1496,-1.9171,-1.5646,-3.0896
1.6183,-1.7758,2.1303,-1.9236,-1.5644,-3.0909
1.617,-1.7503,2.1104,-1.9292,-1.5644,-3.092
1.6158,-1.7251,2.0901,-1.934,-1.5644,-3.0933
1.6147,-1.7003,2.0694,-1.938,-1.5643,-3.0943
1.6136,-1.6759,2.0482,-1.9414,-1.5644,-3.0953
1.6125,-1.6516,2.0266,-1.9441,-1.5643,-3.0964
1.6115,-1.6277,2.0046,-1.946,-1.5644,-3.0972
1.6107,-1.604,1.9821,-1.9472,-1.5645,-3.0983
1.6097,-1.5805,1.9592,-1.948,-1.5643,-3.099
1.6089,-1.5573,1.936,-1.9478,-1.5644,-3.0999
1.608,-1.5342,1.9122,-1.9472,-1.5643,-3.1007
1.6073,-1.5113,1.888,-1.9459,-1.5643,-3.1014
1.5965,-1.9766,2.2621,-1.8547,-1.5643,-3.1131
1.5956,-1.9477,2.2458,-1.8673,-1.5643,-3.1139
1.5949,-1.9194,2.2288,-1.8786,-1.5645,-3.1146
1.5941,-1.8915,2.2115,-1.8891,-1.5644,-3.1152
1.5934,-1.8641,2.1935,-1.8986,-1.5642,-3.1159
1.5927,-1.8371,2.1751,-1.9071,-1.5645,-3.1165
1.5921,-1.8105,2.1561,-1.9147,-1.5644,-3.1171
1.5915,-1.7844,2.1368,-1.9215,-1.5643,-3.1175
1.591,-1.7585,2.117,-1.9275,-1.5645,-3.118
1.5903,-1.7332,2.0967,-1.9326,-1.5645,-3.1187
1.5899,-1.708,2.0758,-1.9369,-1.5645,-3.119
1.5895,-1.6832,2.0547,-1.9405,-1.5644,-3.1194
1.5889,-1.6587,2.0331,-1.9434,-1.5646,-3.1201
1.5885,-1.6346,2.011,-1.9456,-1.5644,-3.1204
1.5881,-1.6107,1.9884,-1.9469,-1.5644,-3.1207
1.5877,-1.5869,1.9656,-1.9478,-1.5646,-3.121
1.5873,-1.5635,1.9422,-1.948,-1.5644,-3.1214
1.5869,-1.5402,1.9185,-1.9475,-1.5646,-3.1219
1.5866,-1.5172,1.8943,-1.9462,-1.5645,-3.122
1.5633,-1.9875,2.2682,-1.8498,-1.5643,-3.1462
1.5636,-1.9582,2.2519,-1.8628,-1.5644,-3.146
1.5637,-1.9295,2.235,-1.8747,-1.5645,-3.1457
1.5639,-1.9011,2.2175,-1.8856,-1.5646,-3.1455
1.5641,-1.8732,2.1996,-1.8956,-1.5643,-3.1453
1.5642,-1.8459,2.1811,-1.9044,-1.5645,-3.145
1.5643,-1.8189,2.1622,-1.9124,-1.5645,-3.1448
1.5645,-1.7924,2.1428,-1.9196,-1.5645,-3.1445
1.5647,-1.7662,2.123,-1.9259,-1.5645,-3.1444
1.5648,-1.7405,2.1026,-1.9312,-1.5645,-3.1442
1.5649,-1.7151,2.0818,-1.9358,-1.5647,-3.1439
1.565,-1.69,2.0606,-1.9396,-1.5645,-3.1439
1.5652,-1.6653,2.0389,-1.9427,-1.5645,-3.1438
1.5653,-1.6409,2.0169,-1.9451,-1.5645,-3.1434
1.5654,-1.6168,1.9943,-1.9467,-1.5646,-3.1434
1.5655,-1.5929,1.9714,-1.9477,-1.5646,-3.1432
1.5656,-1.5693,1.9481,-1.948,-1.5646,-3.143
1.5657,-1.5458,1.9243,-1.9476,-1.5646,-3.1431
